time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-02-03T15:10:40.60Z,29.0655021,-81.2709941,1495.895,38.93,-30.42,-3.03,64.786,89.687,3.74,321.99111,2.03039,3,4
2017-02-03T15:10:40.80Z,29.0655790,-81.2710447,1494.770,38.40,-30.30,-2.59,38.869,49.154,2.23,321.72674,1.66287,3,4
2017-02-03T15:10:41.40Z,29.0657781,-81.2712677,1491.673,36.86,-32.60,-2.90,31.022,38.906,1.11,318.51238,0.84655,3,4
2017-02-03T15:10:41.60Z,29.0658368,-81.2713400,1494.096,36.99,-33.20,-3.38,28.746,36.108,1.09,318.08478,1.05648,3,4
2017-02-03T15:10:41.80Z,29.0658990,-81.2714128,1495.776,36.39,-33.79,-3.38,27.141,33.924,1.08,317.11637,1.22698,3,4
2017-02-03T15:10:42.00Z,29.0659624,-81.2714913,1495.516,35.60,-34.90,-2.94,25.916,32.148,1.07,315.56904,1.22366,3,4
2017-02-03T15:10:42.20Z,29.0660282,-81.2715672,1495.514,35.50,-35.07,-3.10,24.869,30.657,1.10,315.35037,1.37290,3,4
2017-02-03T15:10:42.40Z,29.0660902,-81.2716399,1495.997,34.35,-35.72,-3.14,23.931,29.365,1.10,313.87917,1.38486,3,4
2017-02-03T15:10:42.60Z,29.0661561,-81.2717140,1496.547,34.43,-36.60,-3.44,23.108,28.237,1.09,313.25051,1.34936,3,4
2017-02-03T15:10:42.80Z,29.0662152,-81.2717906,1496.969,33.73,-37.44,-3.55,22.339,27.226,1.22,312.01222,1.40942,3,4
2017-02-03T15:10:43.00Z,29.0662712,-81.2718674,1497.557,32.75,-37.89,-3.60,21.635,26.413,1.07,310.84436,1.27041,3,4
2017-02-03T15:10:43.20Z,29.0663242,-81.2719429,1498.804,32.13,-38.33,-3.68,20.958,25.661,1.03,309.96797,1.20187,3,4
2017-02-03T15:10:43.40Z,29.0663710,-81.2720190,1499.828,30.93,-38.88,-3.90,20.369,25.081,1.02,308.50277,0.83451,3,4
2017-02-03T15:10:43.60Z,29.0664249,-81.2720967,1500.743,30.55,-39.27,-3.97,19.841,24.553,1.00,307.88444,0.80705,3,4
2017-02-03T15:10:43.80Z,29.0664756,-81.2721764,1501.688,29.51,-39.97,-3.98,19.385,24.124,1.03,306.43900,0.84964,3,4
2017-02-03T15:10:44.00Z,29.0665259,-81.2722583,1502.297,28.65,-40.27,-3.95,19.010,23.764,1.03,305.43570,1.14099,3,4
2017-02-03T15:10:44.20Z,29.0665765,-81.2723411,1502.936,28.49,-40.70,-4.02,18.649,23.419,1.03,304.99434,1.23689,3,4
2017-02-03T15:10:44.40Z,29.0666249,-81.2724233,1503.665,27.71,-40.61,-4.05,18.329,23.119,1.03,304.30922,1.28442,3,4
2017-02-03T15:10:44.60Z,29.0666718,-81.2725073,1504.506,27.27,-41.18,-4.13,18.032,22.839,1.25,303.51604,1.39348,3,4
2017-02-03T15:10:44.80Z,29.0667179,-81.2725937,1505.415,26.83,-42.02,-4.14,17.758,22.576,1.36,302.55976,1.46425,3,4
2017-02-03T15:10:45.00Z,29.0667633,-81.2726823,1506.299,26.45,-42.80,-4.07,17.520,22.337,1.42,301.71873,1.58926,3,4
2017-02-03T15:10:45.20Z,29.0668055,-81.2727679,1507.396,25.93,-42.68,-4.13,17.293,22.080,1.42,301.28244,1.71022,3,4
2017-02-03T15:10:45.40Z,29.0668476,-81.2728577,1508.462,25.29,-43.23,-4.10,17.074,21.853,1.37,300.32722,1.70315,3,4
2017-02-03T15:10:45.60Z,29.0668903,-81.2729478,1509.390,24.85,-43.75,-4.05,16.909,21.661,1.39,299.59713,1.76412,3,4
2017-02-03T15:10:45.80Z,29.0669304,-81.2730381,1510.415,24.26,-44.05,-4.06,16.774,21.487,1.46,298.83939,1.89026,3,4
2017-02-03T15:10:46.00Z,29.0669656,-81.2731322,1511.585,22.87,-44.79,-4.07,16.641,21.330,1.46,297.05566,1.88240,3,4
2017-02-03T15:10:46.20Z,29.0669996,-81.2732248,1512.427,21.94,-45.16,-4.04,16.529,21.185,1.47,295.91389,1.96889,3,4
2017-02-03T15:10:46.40Z,29.0670350,-81.2733189,1513.364,21.65,-45.64,-4.05,16.422,21.047,1.53,295.37299,1.95185,3,4
2017-02-03T15:10:46.60Z,29.0670672,-81.2734140,1514.399,20.96,-46.14,-4.14,16.305,20.916,1.47,294.42853,1.91597,3,4
2017-02-03T15:10:46.80Z,29.0670990,-81.2735081,1515.798,19.92,-45.91,-4.22,16.233,20.841,1.42,293.45916,1.94440,3,4
2017-02-03T15:10:47.00Z,29.0671275,-81.2736028,1517.066,18.92,-46.13,-4.28,16.149,20.760,1.32,292.29856,1.87660,3,4
2017-02-03T15:10:47.20Z,29.0671545,-81.2736971,1518.212,17.96,-46.18,-4.29,16.070,20.680,1.26,291.25713,1.83234,3,4
2017-02-03T15:10:47.40Z,29.0671809,-81.2737916,1519.270,16.86,-45.97,-4.22,15.972,20.603,1.08,290.14256,1.67937,3,4
2017-02-03T15:10:47.60Z,29.0672041,-81.2738866,1520.548,15.77,-46.17,-4.27,15.887,20.532,1.07,288.85965,1.66604,3,4
2017-02-03T15:10:47.80Z,29.0672298,-81.2739844,1521.855,15.04,-46.59,-4.30,15.799,20.469,1.06,287.89692,1.65917,3,4
2017-02-03T15:10:48.00Z,29.0672539,-81.2740830,1523.128,14.51,-47.18,-4.38,15.733,20.428,1.26,287.09344,1.79518,3,4
2017-02-03T15:10:48.20Z,29.0672791,-81.2741812,1524.263,14.25,-47.38,-4.42,15.693,20.394,1.39,286.74261,1.95626,3,4
2017-02-03T15:10:48.40Z,29.0673020,-81.2742787,1525.254,13.56,-47.29,-4.39,15.648,20.353,1.41,285.99841,2.05410,3,4
2017-02-03T15:10:48.60Z,29.0673239,-81.2743784,1526.656,12.94,-47.64,-4.48,15.606,20.333,1.47,285.19559,2.09037,3,4
2017-02-03T15:10:48.80Z,29.0673420,-81.2744774,1528.107,12.08,-47.86,-4.59,15.564,20.314,1.48,284.16866,2.11808,3,4
