time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-02-03T21:42:38.40Z,29.0514184,-81.2580678,2192.736,62.81,-29.88,72.48,8158.390,11508.298,729.97,0.00000,180.00000,3,4
2017-02-03T21:42:38.60Z,29.0511750,-81.2568413,2360.713,39.62,47.59,-42.92,5086.653,7171.564,364.84,0.00000,180.00000,3,4
2017-02-03T21:42:38.80Z,29.0515327,-81.2578914,2207.306,47.22,20.92,-5.09,4900.670,6913.687,49.95,0.00000,180.00000,3,4
2017-02-03T21:42:39.00Z,29.0516323,-81.2578957,2203.577,42.59,35.52,-28.40,4234.826,5975.914,43.78,39.82379,41.89159,3,4
2017-02-03T21:42:39.20Z,29.0517261,-81.2579602,2192.336,37.36,35.67,-33.08,3797.817,5360.540,43.86,43.67233,37.95182,3,4
2017-02-03T21:42:39.40Z,29.0518089,-81.2579431,2191.646,38.96,36.05,-33.15,3493.294,4931.925,33.33,42.78140,28.82737,3,4
2017-02-03T21:42:39.60Z,29.0520463,-81.2585146,2107.703,39.89,36.42,-33.42,3234.560,4567.063,25.13,42.39208,21.61067,3,4
2017-02-03T21:42:39.80Z,29.0523668,-81.2593875,1980.550,40.35,36.51,-33.90,3036.384,4287.764,18.82,42.14051,16.12980,3,4
2017-02-03T21:42:40.00Z,29.0525290,-81.2596656,1938.207,41.20,36.30,-34.08,2870.833,4054.728,14.55,41.38240,12.59607,3,4
2017-02-03T21:42:40.20Z,29.0525664,-81.2594550,1964.643,41.96,36.07,-33.78,2725.721,3850.228,11.01,40.68533,9.67966,3,4
2017-02-03T21:42:40.40Z,29.0525160,-81.2589052,2038.906,42.45,35.79,-33.81,2600.286,3673.416,8.43,40.13383,7.50691,3,4
2017-02-03T21:42:40.60Z,29.0523720,-81.2579949,2164.614,42.61,35.48,-34.30,2485.941,3512.094,6.45,39.78009,5.80111,3,4
2017-02-03T21:42:40.80Z,29.0523577,-81.2575750,2220.852,42.69,34.78,-34.59,2388.875,3375.079,5.29,39.16839,4.84595,3,4
2017-02-03T21:42:41.00Z,29.0524352,-81.2574999,2228.082,42.78,34.64,-34.70,2312.616,3267.581,4.21,38.99869,3.91724,3,4
2017-02-03T21:42:41.20Z,29.0525966,-81.2577323,2191.578,43.24,34.38,-34.60,2237.237,3161.101,4.16,38.49130,3.89969,3,4
2017-02-03T21:42:41.40Z,29.0528029,-81.2581371,2131.129,43.54,33.89,-34.70,2170.962,3067.519,3.37,37.89239,3.23893,3,4
2017-02-03T21:42:41.60Z,29.0543969,-81.2637697,1319.218,46.44,25.15,-23.30,65.358,95.155,2.18,28.43381,2.67562,3,5
2017-02-03T21:42:41.80Z,29.0544892,-81.2637441,1320.539,49.75,22.55,-17.83,47.062,70.105,1.86,24.38477,2.35672,3,5
2017-02-03T21:42:42.00Z,29.0545855,-81.2637192,1321.551,50.31,19.50,-15.42,39.027,59.158,1.64,21.18358,2.13780,3,5
2017-02-03T21:42:42.20Z,29.0546738,-81.2636875,1323.300,48.33,16.81,-13.84,34.299,52.711,1.57,19.17656,2.04371,3,5
2017-02-03T21:42:42.40Z,29.0547645,-81.2636636,1323.834,47.83,15.34,-12.50,31.068,48.321,1.45,17.78124,1.94605,3,5
2017-02-03T21:42:42.60Z,29.0548558,-81.2636405,1324.564,48.32,15.14,-12.16,29.160,45.624,1.46,17.39854,1.94183,3,5
2017-02-03T21:42:42.80Z,29.0549436,-81.2636147,1325.950,48.20,14.99,-11.86,27.352,43.132,1.45,17.27898,1.72266,3,5
2017-02-03T21:42:43.00Z,29.0550297,-81.2635872,1327.792,47.91,14.15,-11.29,25.878,41.069,1.51,16.44970,1.65159,3,5
2017-02-03T21:42:43.20Z,29.0551151,-81.2635579,1330.130,47.77,13.32,-11.10,24.699,39.396,1.49,15.58370,1.60529,3,5
2017-02-03T21:42:43.40Z,29.0552015,-81.2635324,1331.887,47.83,12.55,-10.57,23.644,37.865,1.42,14.69891,1.46967,3,5
2017-02-03T21:42:43.60Z,29.0552882,-81.2635021,1334.442,48.15,12.26,-10.52,22.810,36.619,1.52,14.28613,1.41872,3,5
2017-02-03T21:42:43.80Z,29.0553768,-81.2634750,1336.698,48.40,11.83,-10.39,22.167,35.592,1.58,13.73120,1.47511,3,5
2017-02-03T21:42:44.00Z,29.0554670,-81.2634520,1338.660,48.83,10.80,-10.03,21.544,34.614,1.51,12.46697,1.40488,3,5
2017-02-03T21:42:44.20Z,29.0555514,-81.2634296,1340.997,48.19,9.84,-9.82,20.973,33.722,1.47,11.54639,1.37859,3,5
2017-02-03T21:42:44.40Z,29.0556354,-81.2634057,1343.625,47.79,9.27,-9.81,20.454,32.886,1.45,10.97452,1.36745,3,5
2017-02-03T21:42:44.60Z,29.0557249,-81.2633847,1345.713,48.29,8.84,-9.60,19.984,32.116,1.56,10.37716,1.34592,3,5
2017-02-03T21:42:44.80Z,29.0558149,-81.2633663,1347.443,48.65,8.33,-9.36,19.585,31.446,1.60,9.71199,1.33553,3,5
2017-02-03T21:42:45.00Z,29.0559075,-81.2633480,1349.490,49.43,7.74,-9.35,19.289,30.932,1.52,8.90045,1.40484,3,5
2017-02-03T21:42:45.20Z,29.0559969,-81.2633330,1351.390,49.44,7.00,-9.25,18.992,30.471,1.51,8.05855,1.60307,3,5
2017-02-03T21:42:45.40Z,29.0560860,-81.2633173,1353.718,49.49,6.44,-9.27,18.660,29.979,1.51,7.41120,1.52168,3,5
2017-02-03T21:42:45.60Z,29.0561773,-81.2633075,1355.665,49.74,5.18,-9.23,18.366,29.519,1.70,5.94896,1.46635,3,5
2017-02-03T21:42:45.80Z,29.0562702,-81.2633014,1357.275,50.10,3.93,-9.17,18.039,29.013,1.60,4.48940,1.37955,3,5
2017-02-03T21:42:46.00Z,29.0563588,-81.2632950,1358.875,49.79,3.41,-9.12,17.734,28.548,1.54,3.91749,1.55600,3,5
2017-02-03T21:42:46.20Z,29.0564500,-81.2632885,1360.725,49.93,2.96,-9.01,17.429,28.060,1.58,3.39129,1.61797,3,5
2017-02-03T21:42:46.40Z,29.0565409,-81.2632804,1363.376,50.00,2.10,-9.02,16.780,27.129,1.38,2.40100,1.58762,3,6
2017-02-03T21:42:46.60Z,29.0566313,-81.2632779,1365.157,49.78,1.39,-8.84,16.240,26.344,1.31,1.59661,1.61112,3,6
2017-02-03T21:42:46.80Z,29.0567217,-81.2632764,1366.895,49.55,0.80,-8.65,15.734,25.611,1.23,0.92104,1.55591,3,6
2017-02-03T21:42:47.00Z,29.0568128,-81.2632742,1368.613,49.45,0.52,-8.44,15.243,24.895,1.18,0.60374,1.46509,3,6
2017-02-03T21:42:47.20Z,29.0569041,-81.2632745,1370.029,49.59,-0.04,-8.18,14.781,24.230,1.16,359.95115,1.33952,3,6
2017-02-03T21:42:47.40Z,29.0569950,-81.2632753,1371.630,49.58,-0.73,-7.97,14.341,23.603,1.14,359.16174,1.25311,3,6
2017-02-03T21:42:47.60Z,29.0570864,-81.2632769,1373.046,49.51,-1.25,-7.73,13.929,23.002,1.13,358.55210,1.23274,3,6
2017-02-03T21:42:47.80Z,29.0571782,-81.2632793,1374.686,49.38,-1.89,-7.53,13.544,22.429,1.12,357.80663,1.21469,3,6
2017-02-03T21:42:48.00Z,29.0572699,-81.2632844,1375.343,49.42,-2.14,-7.17,13.191,21.878,1.13,357.52632,1.14874,3,6
2017-02-03T21:42:48.20Z,29.0573606,-81.2632914,1376.007,49.23,-2.78,-6.85,12.850,21.345,1.13,356.76392,1.08857,3,6
2017-02-03T21:42:48.40Z,29.0574515,-81.2633001,1376.914,49.27,-3.65,-6.65,12.527,20.846,1.11,355.76172,1.03514,3,6
2017-02-03T21:42:48.60Z,29.0575422,-81.2633096,1378.182,49.46,-4.86,-6.49,12.055,20.200,0.91,354.38819,0.61005,3,6
2017-02-03T21:42:48.80Z,29.0576326,-81.2633172,1379.469,49.72,-5.41,-6.21,11.700,19.711,0.83,353.79012,0.57133,3,6
2017-02-03T21:42:49.00Z,29.0577247,-81.2633293,1380.459,49.73,-6.17,-6.02,11.390,19.280,0.86,352.92656,0.58065,3,6
2017-02-03T21:42:49.20Z,29.0578170,-81.2633435,1381.436,49.89,-6.53,-5.98,11.155,18.929,0.98,352.54789,0.60210,3,6
2017-02-03T21:42:49.40Z,29.0579082,-81.2633583,1382.538,49.81,-7.39,-5.87,10.932,18.590,1.05,351.56104,0.73855,3,6
2017-02-03T21:42:49.60Z,29.0579977,-81.2633743,1383.643,49.66,-8.13,-5.83,10.728,18.289,1.03,350.70695,0.76555,3,6
2017-02-03T21:42:49.80Z,29.0580871,-81.2633898,1385.048,49.62,-8.77,-5.76,10.548,18.047,1.03,349.97773,0.81646,3,6
2017-02-03T21:42:50.00Z,29.0581757,-81.2634064,1386.483,49.62,-9.52,-5.71,10.387,17.831,1.03,349.13774,0.81817,3,6
2017-02-03T21:42:50.20Z,29.0582652,-81.2634262,1387.669,49.56,-10.31,-5.60,10.250,17.648,1.03,348.24628,0.83283,3,6
2017-02-03T21:42:50.40Z,29.0583542,-81.2634481,1388.764,49.42,-11.18,-5.49,10.132,17.484,1.05,347.25015,0.84520,3,6
2017-02-03T21:42:50.60Z,29.0584425,-81.2634704,1389.855,48.99,-11.32,-5.41,10.067,17.366,1.19,346.98869,1.09251,3,6
2017-02-03T21:42:50.80Z,29.0585278,-81.2634926,1390.864,48.16,-11.32,-5.35,10.012,17.250,1.29,346.77805,1.27291,3,6
2017-02-03T21:42:51.00Z,29.0586142,-81.2635160,1391.694,47.89,-11.50,-5.26,9.962,17.141,1.30,346.49607,1.36173,3,6
2017-02-03T21:42:51.20Z,29.0587001,-81.2635406,1392.518,47.54,-11.92,-5.15,9.910,17.038,1.29,345.92144,1.38615,3,6
2017-02-03T21:42:51.40Z,29.0587842,-81.2635695,1393.773,47.23,-12.92,-5.33,9.857,16.948,1.33,344.70457,1.43617,3,6
2017-02-03T21:42:51.60Z,29.0588697,-81.2635995,1394.892,47.12,-13.68,-5.37,9.817,16.873,1.37,343.80762,1.47435,3,6
2017-02-03T21:42:51.80Z,29.0589546,-81.2636306,1395.856,46.75,-14.52,-5.26,9.768,16.773,1.34,342.74621,1.42498,3,6
2017-02-03T21:42:52.00Z,29.0590390,-81.2636623,1396.885,46.57,-15.13,-5.20,9.717,16.686,1.30,342.00483,1.34650,3,6
2017-02-03T21:42:52.20Z,29.0591223,-81.2636943,1398.051,46.39,-15.54,-5.23,9.663,16.608,1.36,341.47543,1.39642,3,6
2017-02-03T21:42:52.40Z,29.0592040,-81.2637293,1399.331,45.92,-16.31,-5.34,9.610,16.521,1.40,340.44370,1.44859,3,6
2017-02-03T21:42:52.60Z,29.0592846,-81.2637664,1400.524,45.44,-17.20,-5.40,9.557,16.435,1.41,339.26661,1.44706,3,6
2017-02-03T21:42:52.80Z,29.0593666,-81.2638009,1402.148,45.20,-17.68,-5.47,9.461,16.319,1.39,338.63139,1.28079,3,7
2017-02-03T21:42:53.00Z,29.0594462,-81.2638374,1404.012,44.68,-18.32,-5.69,9.379,16.206,1.44,337.70383,1.16568,3,7
2017-02-03T21:42:53.20Z,29.0595247,-81.2638749,1405.716,44.11,-18.90,-5.80,9.305,16.095,1.48,336.80581,1.09616,3,7
2017-02-03T21:42:53.40Z,29.0596043,-81.2639166,1407.127,43.95,-19.74,-5.90,9.237,15.981,1.50,335.80900,0.86425,3,7
2017-02-03T21:42:53.60Z,29.0596843,-81.2639615,1408.795,43.87,-21.05,-5.93,9.193,15.899,1.48,334.36620,0.73396,3,6
2017-02-03T21:42:53.80Z,29.0597618,-81.2640038,1410.313,43.37,-21.55,-5.98,9.103,15.774,1.38,333.57693,0.76914,3,6
2017-02-03T21:42:54.00Z,29.0598377,-81.2640468,1411.720,42.80,-21.93,-5.98,9.019,15.649,1.33,332.87287,0.78412,3,6
2017-02-03T21:42:54.20Z,29.0599135,-81.2640914,1413.647,42.42,-22.72,-6.12,8.927,15.503,1.16,331.82862,0.71763,3,6
2017-02-03T21:42:54.40Z,29.0599896,-81.2641388,1415.060,42.22,-23.25,-6.15,8.871,15.399,1.14,331.15558,0.73088,3,6
2017-02-03T21:42:54.60Z,29.0600655,-81.2641880,1416.521,42.07,-23.98,-6.17,8.813,15.298,1.11,330.31141,0.76330,3,6
2017-02-03T21:42:54.80Z,29.0601401,-81.2642369,1417.785,41.64,-24.15,-6.10,8.756,15.212,1.15,329.88942,1.00925,3,6
2017-02-03T21:42:55.00Z,29.0602137,-81.2642863,1419.160,41.20,-24.44,-6.10,8.673,15.102,1.20,329.32197,0.98513,3,7
2017-02-03T21:42:55.20Z,29.0602851,-81.2643373,1420.600,40.66,-24.82,-6.22,8.590,15.006,1.17,328.59734,0.98220,3,7
2017-02-03T21:42:55.40Z,29.0603556,-81.2643886,1422.091,39.87,-25.20,-6.23,8.511,14.916,1.16,327.70844,0.97544,3,7
2017-02-03T21:42:55.60Z,29.0604255,-81.2644417,1423.418,39.41,-25.65,-6.26,8.433,14.824,1.15,326.94207,0.91826,3,7
2017-02-03T21:42:55.80Z,29.0604960,-81.2644956,1424.678,39.36,-25.93,-6.30,8.384,14.768,1.26,326.62258,1.09511,3,7
2017-02-03T21:42:56.00Z,29.0605668,-81.2645529,1425.854,39.26,-26.94,-6.34,8.336,14.721,1.36,325.53738,0.80689,3,7
2017-02-03T21:42:56.20Z,29.0606368,-81.2646097,1427.048,39.01,-27.32,-6.32,8.295,14.678,1.41,324.99232,0.82448,3,7
2017-02-03T21:42:56.40Z,29.0607057,-81.2646673,1428.253,38.63,-27.76,-6.33,8.252,14.641,1.37,324.30064,0.87506,3,7
2017-02-03T21:42:56.60Z,29.0607740,-81.2647247,1429.465,38.33,-27.98,-6.37,8.213,14.597,1.36,323.87140,0.88186,3,7
2017-02-03T21:42:56.80Z,29.0608408,-81.2647825,1430.734,37.82,-28.29,-6.42,8.176,14.562,1.35,323.20875,0.88448,3,7
2017-02-03T21:42:57.00Z,29.0609083,-81.2648414,1431.987,37.56,-28.79,-6.49,8.144,14.530,1.39,322.52659,0.89810,3,7
2017-02-03T21:42:57.20Z,29.0609727,-81.2649006,1433.106,36.96,-28.81,-6.48,8.084,14.468,1.37,322.05703,0.89008,3,7
2017-02-03T21:42:57.40Z,29.0610362,-81.2649609,1433.971,36.14,-29.27,-6.40,8.018,14.404,1.33,320.99716,0.84074,3,7
2017-02-03T21:42:57.60Z,29.0610996,-81.2650209,1434.911,35.40,-29.65,-6.34,7.953,14.343,1.29,320.04849,0.79380,3,7
2017-02-03T21:42:57.80Z,29.0611611,-81.2650799,1436.264,34.73,-29.75,-6.38,7.841,14.263,1.09,319.41295,0.63758,3,7
2017-02-03T21:42:58.00Z,29.0612241,-81.2651453,1436.802,34.30,-30.41,-5.94,7.770,14.211,1.27,318.43825,0.54865,3,7
2017-02-03T21:42:58.20Z,29.0612862,-81.2652063,1437.782,33.80,-30.48,-5.92,7.675,14.131,1.34,317.95926,0.60684,3,7
2017-02-03T21:42:58.40Z,29.0613495,-81.2652630,1439.563,33.15,-30.40,-5.93,7.599,14.079,1.35,317.47928,0.63748,3,7
2017-02-03T21:42:58.60Z,29.0614100,-81.2653262,1440.727,33.10,-30.76,-5.98,7.578,14.073,1.37,317.09689,0.71951,3,7
2017-02-03T21:42:58.80Z,29.0614703,-81.2653927,1441.809,33.12,-31.34,-5.87,7.554,14.062,1.36,316.58651,0.73906,3,7
2017-02-03T21:42:59.00Z,29.0615298,-81.2654606,1442.918,32.66,-32.30,-5.87,7.524,14.039,1.33,315.32070,0.67787,3,7
2017-02-03T21:42:59.20Z,29.0615867,-81.2655277,1444.461,32.20,-32.64,-5.92,7.481,14.008,1.12,314.61296,0.60157,3,7
2017-02-03T21:42:59.40Z,29.0616440,-81.2655974,1445.552,31.71,-33.42,-5.90,7.448,13.999,1.08,313.49724,0.50625,3,7
2017-02-03T21:42:59.60Z,29.0616983,-81.2656641,1446.796,31.14,-32.87,-5.85,7.417,13.990,1.09,313.45274,0.50109,3,7
2017-02-03T21:42:59.80Z,29.0617524,-81.2657322,1447.947,30.47,-33.07,-5.70,7.364,13.920,1.21,312.65821,0.56335,3,7
2017-02-03T21:43:00.00Z,29.0618068,-81.2658010,1449.291,30.43,-33.32,-5.70,7.339,13.850,1.31,312.41047,0.78974,3,7
2017-02-03T21:43:00.20Z,29.0618591,-81.2658701,1450.448,29.60,-33.62,-5.55,7.275,13.838,1.30,311.36358,0.84340,3,7
2017-02-03T21:43:00.40Z,29.0619129,-81.2659423,1451.593,29.46,-34.28,-5.35,7.177,13.826,1.11,310.66945,0.58118,3,7
2017-02-03T21:43:00.60Z,29.0619655,-81.2660132,1452.669,29.34,-34.33,-5.32,7.081,13.815,0.94,310.51980,0.64580,3,7
2017-02-03T21:43:00.80Z,29.0620167,-81.2660839,1454.225,29.19,-34.42,-5.43,6.992,13.799,0.87,310.29614,0.69416,3,7
2017-02-03T21:43:01.00Z,29.0620656,-81.2661544,1455.624,28.51,-34.37,-5.44,6.889,13.769,0.69,309.67018,0.65082,3,7
2017-02-03T21:43:01.20Z,29.0621151,-81.2662264,1456.978,28.13,-34.59,-5.39,6.799,13.744,0.73,309.12100,0.66829,3,7
2017-02-03T21:43:01.40Z,29.0621650,-81.2663003,1458.291,28.00,-35.09,-5.39,6.712,13.720,0.73,308.58819,0.64633,3,7
