time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-02-03T17:52:47.00Z,29.0647568,-81.2545111,1249.600,16.86,48.78,-3.91,179.831,163.462,6.47,70.93447,5.77373,3,4
2017-02-03T17:52:47.20Z,29.0647094,-81.2544324,1257.984,17.58,48.81,-4.60,97.186,80.316,3.42,70.19038,2.89650,3,4
2017-02-03T17:52:47.80Z,29.0648377,-81.2542293,1268.286,17.83,46.93,-4.07,77.891,70.306,2.26,69.19817,2.10397,3,4
2017-02-03T17:52:48.00Z,29.0648576,-81.2541459,1270.354,17.88,46.57,-4.21,71.450,65.080,2.14,68.99367,2.00532,3,4
2017-02-03T17:52:48.20Z,29.0648847,-81.2540557,1271.186,18.24,46.40,-4.53,66.427,60.767,1.98,68.53531,1.80491,3,4
2017-02-03T17:52:48.40Z,29.0649134,-81.2539713,1272.425,18.45,46.25,-4.40,62.121,57.007,1.90,68.24583,1.71511,3,4
2017-02-03T17:52:48.60Z,29.0649579,-81.2538978,1274.619,18.49,45.87,-4.09,58.405,53.784,1.86,68.04388,1.67278,3,4
2017-02-03T17:52:48.80Z,29.0649922,-81.2538122,1275.927,18.72,46.09,-4.10,55.084,50.863,1.80,67.89792,1.60709,3,4
2017-02-03T17:52:49.00Z,29.0650212,-81.2537187,1276.228,18.88,45.88,-4.23,52.289,48.388,1.73,67.62854,1.56525,3,4
2017-02-03T17:52:49.20Z,29.0650527,-81.2536235,1276.435,19.00,45.72,-4.34,49.719,46.086,1.71,67.43485,1.53081,3,4
2017-02-03T17:52:49.40Z,29.0650906,-81.2535349,1277.343,19.41,45.25,-4.57,47.384,44.072,1.67,66.78395,1.52487,3,4
2017-02-03T17:52:49.60Z,29.0651304,-81.2534446,1278.399,19.48,45.34,-4.52,45.473,42.386,1.63,66.74873,1.48660,3,4
2017-02-03T17:52:49.80Z,29.0651657,-81.2533531,1279.133,19.80,44.97,-4.52,43.790,40.929,1.61,66.24027,1.48065,3,4
2017-02-03T17:52:50.00Z,29.0652066,-81.2532645,1280.106,19.99,44.78,-4.55,42.289,39.621,1.59,65.94510,1.46793,3,4
2017-02-03T17:52:50.20Z,29.0652474,-81.2531766,1280.917,20.24,44.61,-4.44,41.016,38.486,1.57,65.60018,1.45923,3,4
2017-02-03T17:52:50.40Z,29.0652895,-81.2530922,1282.376,20.59,44.55,-4.43,39.859,37.452,1.56,65.19685,1.45016,3,4
2017-02-03T17:52:50.60Z,29.0653294,-81.2530065,1283.459,20.80,44.26,-4.31,38.815,36.504,1.55,64.83018,1.45046,3,4
2017-02-03T17:52:50.80Z,29.0653676,-81.2529190,1284.309,21.06,44.12,-4.19,37.916,35.720,1.58,64.48303,1.45754,3,4
2017-02-03T17:52:51.00Z,29.0654043,-81.2528275,1284.963,21.27,44.19,-4.10,37.084,35.016,1.60,64.29828,1.45726,3,4
2017-02-03T17:52:51.20Z,29.0654255,-81.2526679,1279.791,21.61,44.48,-4.50,31.049,29.359,1.27,64.08746,1.23865,3,5
2017-02-03T17:52:51.40Z,29.0654576,-81.2525504,1278.340,21.94,44.37,-4.73,27.350,25.925,1.14,63.68656,1.13012,3,5
2017-02-03T17:52:51.60Z,29.0654912,-81.2524405,1277.403,22.26,44.26,-4.81,24.955,23.689,1.09,63.30243,1.07161,3,5
2017-02-03T17:52:51.80Z,29.0655281,-81.2523355,1276.725,22.69,43.85,-4.84,23.133,22.006,1.06,62.63998,1.05212,3,5
2017-02-03T17:52:52.00Z,29.0655651,-81.2522342,1276.441,23.11,43.35,-4.98,21.810,20.795,1.10,61.93888,1.05583,3,5
2017-02-03T17:52:52.20Z,29.0656040,-81.2521332,1276.003,23.60,43.28,-4.90,20.620,19.724,1.06,61.39559,1.04006,3,5
2017-02-03T17:52:52.40Z,29.0656445,-81.2520362,1275.874,23.97,43.29,-4.78,19.660,18.863,1.06,61.03066,1.02026,3,5
2017-02-03T17:52:52.60Z,29.0656770,-81.2519311,1275.042,24.22,43.07,-4.74,18.175,17.860,1.09,60.64887,0.97170,3,6
2017-02-03T17:52:52.80Z,29.0657120,-81.2518346,1274.470,24.58,42.85,-4.44,17.033,17.092,1.03,60.16242,0.91857,3,6
2017-02-03T17:52:53.00Z,29.0657499,-81.2517398,1274.340,24.80,42.62,-4.35,16.171,16.499,1.13,59.80243,0.94535,3,6
2017-02-03T17:52:53.20Z,29.0657880,-81.2516457,1274.505,25.01,42.34,-4.34,15.388,15.999,1.14,59.42806,0.95246,3,7
2017-02-03T17:52:53.40Z,29.0658284,-81.2515525,1274.677,25.33,42.16,-4.33,14.747,15.557,1.15,59.00157,0.95494,3,7
2017-02-03T17:52:53.60Z,29.0658713,-81.2514617,1274.904,25.69,42.08,-4.22,14.223,15.172,1.20,58.59769,0.97201,3,7
2017-02-03T17:52:53.80Z,29.0659160,-81.2513719,1275.288,26.24,41.89,-4.19,13.771,14.797,1.19,57.94048,0.96736,3,7
2017-02-03T17:52:54.00Z,29.0659617,-81.2512866,1275.854,26.39,41.54,-4.18,13.305,14.421,1.14,57.57895,0.95424,3,8
2017-02-03T17:52:54.20Z,29.0660075,-81.2512036,1276.157,27.05,40.78,-3.74,12.849,13.468,1.15,56.44333,0.77928,3,9
2017-02-03T17:52:54.40Z,29.0660558,-81.2511206,1277.207,27.80,40.61,-3.78,12.449,12.717,0.89,55.60711,0.78829,3,9
2017-02-03T17:52:54.60Z,29.0661065,-81.2510362,1277.967,28.52,40.60,-3.77,12.108,12.171,0.85,54.91914,0.77649,3,9
2017-02-03T17:52:54.80Z,29.0661578,-81.2509528,1278.511,29.06,40.35,-3.64,11.780,11.700,0.85,54.23807,0.74860,3,9
2017-02-03T17:52:55.00Z,29.0662102,-81.2508708,1279.280,29.55,40.19,-3.66,11.461,11.301,0.83,53.67608,0.73309,3,9
2017-02-03T17:52:55.20Z,29.0662647,-81.2507902,1280.126,30.03,39.76,-3.55,11.161,10.945,0.82,52.93439,0.70746,3,9
2017-02-03T17:52:55.40Z,29.0663196,-81.2507113,1281.381,30.08,39.27,-3.62,10.873,10.641,0.80,52.54546,0.69012,3,9
