time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-16T19:00:03.00Z,28.2199582,-82.1510188,40.848,0.94,0.49,-3.78,108.386,188.427,8.56,0.00000,115.38460,3,4
2017-01-16T19:00:03.20Z,28.2199315,-82.1510011,36.934,1.28,0.79,-3.60,52.098,82.078,3.72,0.00000,115.38490,3,5
2017-01-16T19:00:03.40Z,28.2199321,-82.1510501,35.771,0.84,0.65,-3.58,48.267,86.732,3.20,0.00000,115.38518,3,5
2017-01-16T19:00:03.60Z,28.2199123,-82.1511183,26.716,0.52,0.63,-2.55,36.588,69.756,2.68,0.00000,115.38538,3,7
2017-01-16T19:00:03.80Z,28.2199029,-82.1511460,22.967,0.65,0.51,-2.11,31.021,62.097,2.40,0.00000,115.38558,3,6
2017-01-16T19:00:04.00Z,28.2198750,-82.1511924,18.547,0.51,0.30,-1.89,26.259,55.621,2.15,0.00000,115.38576,3,6
2017-01-16T19:00:04.20Z,28.2198826,-82.1512135,17.900,0.18,0.08,-1.46,23.910,50.862,1.97,0.00000,115.38590,3,7
2017-01-16T19:00:04.40Z,28.2198830,-82.1512304,16.320,0.19,0.13,-0.97,22.154,47.468,1.86,0.00000,115.38604,3,7
2017-01-16T19:00:04.60Z,28.2198851,-82.1512343,15.975,0.17,-0.34,-0.62,20.615,43.799,1.31,0.00000,115.38614,3,7
2017-01-16T19:00:04.80Z,28.2198866,-82.1512391,15.169,0.28,-0.38,-0.27,19.316,40.693,0.97,0.00000,115.38620,3,7
2017-01-16T19:00:05.00Z,28.2198812,-82.1512493,13.307,-0.07,-0.96,-0.38,18.326,38.368,0.66,0.00000,115.38628,3,7
2017-01-16T19:00:05.20Z,28.2198761,-82.1512549,12.331,-0.08,-0.83,-0.30,17.676,36.909,0.86,0.00000,115.38636,3,7
2017-01-16T19:00:05.40Z,28.2198631,-82.1512651,9.440,-0.10,-0.64,-0.15,16.784,34.727,0.98,0.00000,115.38644,3,7
2017-01-16T19:00:05.60Z,28.2198596,-82.1512641,10.068,-0.04,0.13,0.13,16.269,33.594,0.74,0.00000,115.38650,3,7
2017-01-16T19:00:05.80Z,28.2198523,-82.1512659,10.022,-0.38,0.05,0.44,15.576,32.499,0.99,0.00000,115.38658,3,7
2017-01-16T19:00:06.00Z,28.2198462,-82.1512674,8.991,-0.18,-0.21,0.31,14.870,30.909,1.08,0.00000,115.38666,3,7
2017-01-16T19:00:06.20Z,28.2198425,-82.1512747,7.983,0.02,-0.57,0.58,14.467,30.048,1.25,0.00000,115.38676,3,7
2017-01-16T19:00:06.40Z,28.2198375,-82.1512795,7.161,-0.11,-0.46,0.83,14.080,29.264,1.17,0.00000,115.38686,3,7
2017-01-16T19:00:06.60Z,28.2198338,-82.1512818,6.249,-0.05,-0.58,0.85,13.722,28.400,1.18,0.00000,115.38696,3,7
2017-01-16T19:00:06.80Z,28.2198337,-82.1512830,5.865,0.07,-0.69,0.91,13.422,27.761,1.18,0.00000,115.38704,3,7
2017-01-16T19:00:07.00Z,28.2198327,-82.1512844,5.862,-0.17,-1.09,0.91,13.257,27.381,1.18,0.00000,115.38716,3,7
2017-01-16T19:00:07.20Z,28.2198323,-82.1512828,6.191,-0.29,-0.60,0.90,12.996,26.956,1.19,0.00000,115.38726,3,7
2017-01-16T19:00:07.40Z,28.2198322,-82.1512804,6.571,-0.22,-0.44,0.80,12.756,26.520,1.18,0.00000,115.38736,3,7
2017-01-16T19:00:07.60Z,28.2198321,-82.1512806,6.670,-0.37,-0.50,0.80,12.530,26.101,1.17,0.00000,115.38744,3,7
2017-01-16T19:00:07.80Z,28.2198320,-82.1512796,6.974,-0.35,-0.07,0.75,12.317,25.714,1.13,0.00000,115.38754,3,7
2017-01-16T19:00:08.00Z,28.2198327,-82.1512811,6.876,0.06,-0.26,0.85,12.107,25.341,1.04,0.00000,115.38762,3,7
2017-01-16T19:00:08.20Z,28.2198336,-82.1512798,7.135,-0.07,-0.06,0.95,11.903,24.899,1.06,0.00000,115.38770,3,7
2017-01-16T19:00:08.40Z,28.2198357,-82.1512790,8.361,-0.27,-0.90,1.07,11.580,24.167,1.01,0.00000,115.38782,3,7
2017-01-16T19:00:08.60Z,28.2198379,-82.1512795,9.168,-0.58,-0.64,1.09,11.237,23.678,1.07,0.00000,115.38792,3,7
2017-01-16T19:00:08.80Z,28.2198418,-82.1512771,10.503,-0.31,-0.37,0.96,10.981,23.127,1.02,0.00000,115.38800,3,7
2017-01-16T19:00:09.00Z,28.2198412,-82.1512807,10.041,-0.66,-1.05,1.13,10.856,22.848,0.90,245.51180,29.25188,3,7
2017-01-16T19:00:09.20Z,28.2198422,-82.1512801,10.705,-1.04,-1.03,1.17,10.639,22.414,1.00,233.89729,25.92040,3,7
2017-01-16T19:00:09.40Z,28.2198465,-82.1512822,11.858,-0.23,-0.88,1.09,9.576,21.492,1.01,240.48134,39.26647,3,7
2017-01-16T19:00:09.60Z,28.2198417,-82.1512999,10.094,-0.03,-0.55,1.13,8.916,20.994,1.00,240.48134,39.26676,3,7
2017-01-16T19:00:09.80Z,28.2198423,-82.1513045,9.919,-0.13,-0.90,1.11,8.660,20.618,0.89,253.28522,32.03420,3,7
2017-01-16T19:00:10.00Z,28.2198420,-82.1513029,10.493,0.13,-0.45,1.06,8.297,20.303,0.93,253.28522,32.03452,3,7
