time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-19T17:46:46.80Z,28.2201398,-82.1507085,144.374,5.32,6.72,-16.33,161.645,221.230,12.78,51.66164,36.21736,3,4
2017-01-19T17:46:47.00Z,28.2201686,-82.1507186,141.692,5.55,6.56,-15.88,104.656,115.225,6.74,49.76374,25.63689,3,4
2017-01-19T17:46:47.20Z,28.2201688,-82.1507272,140.984,4.95,6.09,-14.64,96.480,113.811,5.39,50.87940,17.79830,3,4
2017-01-19T17:46:47.40Z,28.2201740,-82.1507283,141.670,4.58,5.80,-13.51,79.543,97.123,4.70,51.70627,15.15165,3,4
2017-01-19T17:46:47.60Z,28.2199227,-82.1510207,87.561,1.99,2.18,-7.93,42.852,54.443,2.13,47.68067,25.70397,3,5
2017-01-19T17:46:47.80Z,28.2198815,-82.1510759,74.653,2.17,0.76,-5.72,34.739,44.373,1.77,29.28371,18.97133,3,5
2017-01-19T17:46:48.00Z,28.2198601,-82.1511057,65.506,0.38,0.48,-3.52,30.711,38.312,1.31,29.28371,18.97302,3,5
2017-01-19T17:46:48.20Z,28.2199135,-82.1511145,64.639,-0.11,0.80,-3.09,22.739,34.369,1.26,29.28371,18.97454,3,7
2017-01-19T17:46:48.40Z,28.2199319,-82.1511247,62.355,-0.31,0.54,-2.69,19.972,32.326,1.23,29.28371,18.97585,3,7
2017-01-19T17:46:48.60Z,28.2199383,-82.1511352,58.145,0.04,0.44,-2.42,17.933,30.231,1.17,29.28371,18.97701,3,7
2017-01-19T17:46:48.80Z,28.2199465,-82.1511462,55.434,-0.22,0.25,-2.30,16.457,28.583,1.12,29.28371,18.97812,3,7
2017-01-19T17:46:49.00Z,28.2199569,-82.1511565,53.292,-0.49,0.23,-1.98,15.319,27.275,1.09,29.28371,18.97909,3,7
2017-01-19T17:46:49.20Z,28.2199638,-82.1511660,50.610,-0.11,0.28,-1.82,14.109,25.995,1.04,29.28371,18.97997,3,7
2017-01-19T17:46:49.40Z,28.2199686,-82.1511882,46.235,0.19,-0.49,-1.48,12.558,23.728,0.85,29.28371,18.98071,3,7
2017-01-19T17:46:49.60Z,28.2199636,-82.1511953,43.469,0.16,-0.74,-1.19,11.639,22.348,0.74,29.28371,18.98138,3,7
2017-01-19T17:46:49.80Z,28.2199601,-82.1512004,41.671,0.18,-0.46,-0.70,11.032,21.331,0.63,29.28371,18.98179,3,7
2017-01-19T17:46:50.00Z,28.2199580,-82.1512010,40.445,-0.01,-0.37,-0.65,10.491,20.184,0.67,29.28371,18.98214,3,7
2017-01-19T17:46:50.20Z,28.2199540,-82.1512057,38.473,-0.02,-0.66,-0.71,9.987,19.048,0.57,29.28371,18.98260,3,8
2017-01-19T17:46:50.40Z,28.2199517,-82.1512114,34.723,0.16,-0.47,-0.59,9.333,17.871,0.51,13.43880,43.77427,3,8
2017-01-19T17:46:50.60Z,28.2199484,-82.1512183,31.680,-0.07,-0.55,-0.45,8.931,16.908,0.42,13.43880,43.77442,3,8
2017-01-19T17:46:50.80Z,28.2199477,-82.1512233,30.175,-0.02,-0.77,-0.47,8.676,16.410,0.45,13.43880,43.77460,3,8
2017-01-19T17:46:51.00Z,28.2199473,-82.1512310,28.024,-0.47,-0.75,-0.54,8.352,15.501,0.70,304.15021,42.75637,3,8
2017-01-19T17:46:51.20Z,28.2199449,-82.1512337,27.816,-0.11,-0.38,-0.41,8.075,14.984,0.62,304.15021,42.75650,3,8
2017-01-19T17:46:51.40Z,28.2199437,-82.1512380,27.119,-0.05,-0.53,-0.46,7.851,14.584,0.48,304.15021,42.75665,3,8
2017-01-19T17:46:51.60Z,28.2199419,-82.1512416,27.023,0.10,-0.33,-0.26,7.493,13.692,0.46,304.15021,42.75675,3,8
2017-01-19T17:46:51.80Z,28.2199404,-82.1512450,26.186,-0.01,-0.26,-0.10,7.241,13.044,0.44,304.15021,42.75685,3,8
2017-01-19T17:46:52.00Z,28.2199395,-82.1512446,26.779,-0.15,-0.45,-0.03,7.005,12.281,0.37,304.15021,42.75695,3,8
2017-01-19T17:46:52.20Z,28.2199395,-82.1512464,26.537,-0.03,-0.85,0.12,6.768,11.633,0.42,286.57720,43.86142,3,8
2017-01-19T17:46:52.40Z,28.2199422,-82.1512460,26.578,0.03,-0.41,-0.09,6.576,11.218,0.37,286.57720,43.86150,3,8
2017-01-19T17:46:52.60Z,28.2199435,-82.1512480,26.261,0.00,-0.45,0.11,6.397,10.839,0.40,286.57720,43.86160,3,8
2017-01-19T17:46:52.80Z,28.2199468,-82.1512497,26.177,0.11,-0.72,0.22,6.220,10.617,0.47,282.68721,43.98219,3,8
