time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-19T20:33:16.40Z,28.2198940,-82.1511632,47.702,0.41,-2.54,6.97,47.033,234.118,9.15,279.17183,19.42361,3,4
2017-01-19T20:33:16.60Z,28.2198502,-82.1512088,39.536,0.25,-1.76,4.24,33.803,83.375,2.97,278.89427,32.08691,3,5
2017-01-19T20:33:16.80Z,28.2198644,-82.1511978,39.631,-0.38,-2.19,2.48,29.947,80.630,1.94,264.32032,17.07266,3,5
2017-01-19T20:33:17.00Z,28.2198616,-82.1511952,40.233,-0.22,-1.64,3.00,24.711,68.358,1.85,263.60091,22.69976,3,5
2017-01-19T20:33:17.20Z,28.2198589,-82.1511962,38.277,-0.45,-1.60,2.90,21.317,59.836,1.64,259.06377,22.99262,3,5
2017-01-19T20:33:17.40Z,28.2198607,-82.1512030,33.418,-0.48,-1.39,2.97,18.995,54.009,1.53,255.75643,27.94958,3,5
2017-01-19T20:33:17.60Z,28.2198649,-82.1512069,26.716,-0.62,-1.09,2.98,16.990,49.143,1.45,248.59495,30.01886,3,5
2017-01-19T20:33:17.80Z,28.2198547,-82.1511951,20.739,-0.73,-0.91,2.93,15.223,44.434,1.36,239.64820,28.65420,3,5
2017-01-19T20:33:18.00Z,28.2198529,-82.1511879,19.949,-0.62,-0.51,2.70,14.013,40.117,1.30,233.17331,41.34023,3,6
2017-01-19T20:33:18.20Z,28.2198640,-82.1511768,18.283,-0.34,-0.15,2.60,12.874,37.267,1.26,233.17331,41.34081,3,7
2017-01-19T20:33:18.40Z,28.2198751,-82.1511704,16.784,-0.06,-0.40,2.60,11.971,35.764,1.23,233.17331,41.34138,3,6
2017-01-19T20:33:18.60Z,28.2198806,-82.1511660,14.594,-0.11,-0.31,2.74,11.306,34.330,1.19,233.17331,41.34198,3,6
2017-01-19T20:33:18.80Z,28.2198784,-82.1511698,11.196,-0.24,0.13,2.05,10.643,31.712,1.05,233.17331,41.34243,3,8
2017-01-19T20:33:19.00Z,28.2198769,-82.1511710,8.463,-0.04,0.49,1.93,10.115,29.603,0.99,233.17331,41.34286,3,8
2017-01-19T20:33:19.20Z,28.2198740,-82.1511750,5.876,-0.18,0.59,1.91,9.768,27.971,0.96,233.17331,41.34330,3,8
2017-01-19T20:33:19.40Z,28.2198708,-82.1511776,7.168,-0.06,0.62,1.77,9.376,26.144,0.93,233.17331,41.34371,3,9
2017-01-19T20:33:19.60Z,28.2198676,-82.1511801,8.847,-0.05,0.60,1.63,9.005,24.261,0.90,233.17331,41.34409,3,10
2017-01-19T20:33:19.80Z,28.2198626,-82.1511858,10.257,-0.24,0.16,1.67,8.674,22.798,0.87,233.17331,41.34446,3,10
2017-01-19T20:33:20.00Z,28.2198623,-82.1511881,10.468,-0.25,0.06,1.59,8.419,21.468,0.85,233.17331,41.34481,3,11
2017-01-19T20:33:20.20Z,28.2198635,-82.1511900,9.386,0.01,0.17,1.62,8.186,20.334,0.86,233.17331,41.34516,3,11
