time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-18T17:07:58.60Z,28.2200923,-82.1512468,47.215,0.33,-0.04,-1.24,68.101,108.334,7.29,0.00000,180.00000,3,4
2017-01-18T17:07:58.80Z,28.2200409,-82.1512464,44.258,0.24,-0.02,-0.69,64.903,76.853,4.59,0.00000,180.00000,3,4
2017-01-18T17:07:59.00Z,28.2199986,-82.1512415,37.593,0.06,-0.02,-0.33,29.432,44.255,1.25,0.00000,180.00000,3,5
2017-01-18T17:07:59.20Z,28.2199894,-82.1512554,37.302,-0.23,0.03,-0.06,23.493,36.032,0.73,0.00000,90.78156,3,5
2017-01-18T17:07:59.40Z,28.2199854,-82.1512682,35.642,-0.37,0.05,-0.08,20.067,30.883,0.67,0.00000,90.78162,3,5
2017-01-18T17:07:59.60Z,28.2199784,-82.1512848,35.120,-0.44,0.16,-0.06,17.530,27.151,0.61,130.33844,43.49449,3,5
2017-01-18T17:07:59.80Z,28.2199664,-82.1512935,35.687,-0.10,0.09,-0.05,15.262,23.267,0.56,130.33844,43.49461,3,6
2017-01-18T17:08:00.00Z,28.2199476,-82.1512985,35.452,-0.14,0.08,0.04,13.551,20.588,0.38,130.33844,43.49469,3,6
2017-01-18T17:08:00.20Z,28.2199340,-82.1512984,33.487,-0.01,0.18,0.17,12.514,19.065,0.43,130.33844,43.49477,3,6
2017-01-18T17:08:00.40Z,28.2199092,-82.1512882,31.195,0.07,0.02,0.27,11.141,17.617,0.54,130.33844,43.49489,3,8
2017-01-18T17:08:00.60Z,28.2199047,-82.1512878,30.407,0.08,0.07,0.27,9.968,15.701,0.50,130.33844,43.49499,3,9
2017-01-18T17:08:00.80Z,28.2199015,-82.1512876,29.425,0.16,0.11,0.42,8.798,13.491,0.49,130.33844,43.49509,3,10
2017-01-18T17:08:01.00Z,28.2199108,-82.1512868,26.645,0.01,0.08,0.43,8.086,12.459,0.43,130.33844,43.49518,3,11
2017-01-18T17:08:01.20Z,28.2199094,-82.1512878,26.320,-0.11,0.11,0.44,7.556,11.586,0.37,130.33844,43.49528,3,12
2017-01-18T17:08:01.40Z,28.2198984,-82.1512918,28.010,-0.04,0.07,0.45,6.987,10.569,0.38,130.33844,43.49537,3,12
2017-01-18T17:08:01.60Z,28.2198924,-82.1512934,28.852,-0.42,0.01,0.41,6.567,9.856,0.34,153.62201,44.55227,3,12
2017-01-18T17:08:01.80Z,28.2198912,-82.1512931,29.261,-0.01,0.05,0.25,6.133,9.129,0.38,153.62201,44.55234,3,12
