time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-18T19:24:24.40Z,28.2206610,-82.1510081,688.362,-3.38,-0.93,39.99,331.324,2301.221,126.52,0.00000,51.46965,3,4
2017-01-18T19:24:24.60Z,28.2206916,-82.1510001,696.000,-3.75,-0.75,40.47,209.218,1429.867,78.52,191.31337,20.76842,3,4
2017-01-18T19:24:24.80Z,28.2205905,-82.1510335,608.385,-3.16,-0.80,32.70,194.932,1343.739,58.66,194.10315,21.22559,3,4
2017-01-18T19:24:25.00Z,28.2205359,-82.1510397,549.794,-2.78,-0.65,26.04,166.442,1148.752,46.69,193.19619,15.67454,3,4
2017-01-18T19:24:25.20Z,28.2197996,-82.1511531,-34.757,1.35,0.01,-4.37,24.257,120.922,6.64,280.74831,14.94292,3,5
2017-01-18T19:24:25.40Z,28.2198656,-82.1511468,7.694,-0.54,-1.17,0.15,16.712,60.252,0.63,274.49019,32.35355,3,7
2017-01-18T19:24:25.60Z,28.2198788,-82.1511430,13.556,1.71,0.40,-0.63,14.073,44.794,0.90,350.01321,17.92818,3,7
2017-01-18T19:24:25.80Z,28.2198921,-82.1511326,22.168,1.37,0.05,-0.35,11.999,37.235,0.55,357.17860,15.11071,3,6
2017-01-18T19:24:26.00Z,28.2198951,-82.1511272,24.722,0.85,0.17,-0.21,11.305,36.403,0.59,0.44452,27.30937,3,5
2017-01-18T19:24:26.20Z,28.2199029,-82.1511219,27.971,0.25,-0.12,0.11,10.062,30.982,0.44,0.44452,27.30952,3,7
2017-01-18T19:24:26.40Z,28.2198994,-82.1511278,28.422,-0.03,-0.25,0.08,9.187,30.612,0.39,0.44452,27.30965,3,5
2017-01-18T19:24:26.60Z,28.2198974,-82.1511349,27.085,-0.18,-0.06,0.14,8.483,29.613,0.51,0.44452,27.30981,3,6
2017-01-18T19:24:26.80Z,28.2199013,-82.1511479,27.343,-0.15,0.01,0.23,7.832,27.531,0.61,0.44452,27.31001,3,7
2017-01-18T19:24:27.00Z,28.2199001,-82.1511437,26.430,-0.19,0.01,0.40,7.273,24.808,0.59,0.44452,27.31021,3,9
