time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-20T13:38:00.20Z,28.2194745,-82.1507695,45.466,-0.09,-0.07,-0.21,70.920,96.201,3.70,0.00000,180.00000,3,5
2017-01-20T13:38:00.40Z,28.2194766,-82.1507669,45.075,-0.07,0.00,-0.03,41.637,55.595,1.93,0.00000,180.00000,3,5
2017-01-20T13:38:00.60Z,28.2194828,-82.1507654,44.443,-0.04,-0.01,0.03,43.780,58.833,0.46,0.00000,180.00000,3,5
2017-01-20T13:38:00.80Z,28.2194838,-82.1507649,44.479,0.07,0.02,0.03,39.049,52.610,1.54,0.00000,180.00000,3,5
2017-01-20T13:38:01.00Z,28.2194850,-82.1507646,44.464,-0.03,-0.04,0.02,35.602,48.032,0.61,0.00000,180.00000,3,5
2017-01-20T13:38:01.20Z,28.2194848,-82.1507648,44.537,-0.10,-0.08,0.02,32.937,44.481,0.88,0.00000,175.37624,3,5
2017-01-20T13:38:01.40Z,28.2194840,-82.1507648,44.661,-0.07,-0.07,0.06,30.793,41.617,0.47,0.00000,180.00000,3,5
2017-01-20T13:38:01.60Z,28.2194853,-82.1507646,44.662,-0.12,-0.06,0.12,28.870,38.949,0.43,0.00000,146.65226,3,5
2017-01-20T13:38:01.80Z,28.2194864,-82.1507642,44.656,-0.14,-0.09,0.12,27.277,36.751,0.46,0.00000,146.65228,3,5
2017-01-20T13:38:02.00Z,28.2194889,-82.1507632,44.476,-0.07,-0.07,0.13,25.929,34.899,0.49,0.00000,146.65230,3,5
2017-01-20T13:38:02.20Z,28.2194891,-82.1507640,44.790,-0.04,-0.03,0.14,24.604,32.962,0.69,0.00000,146.65236,3,5
2017-01-20T13:38:02.40Z,28.2194919,-82.1507634,44.480,-0.02,-0.06,0.15,23.609,31.613,0.69,0.00000,146.65240,3,5
2017-01-20T13:38:02.60Z,28.2194950,-82.1507627,44.247,-0.03,-0.04,0.18,22.726,30.419,0.72,0.00000,146.65244,3,5
2017-01-20T13:38:02.80Z,28.2194932,-82.1507649,44.735,0.03,0.04,0.15,21.765,29.090,1.07,0.00000,146.65250,3,5
2017-01-20T13:38:03.00Z,28.2194911,-82.1507672,45.147,0.05,-0.02,0.19,20.925,27.923,0.98,0.00000,146.65256,3,5
2017-01-20T13:38:03.20Z,28.2194847,-82.1507713,46.487,0.10,0.05,0.17,19.645,25.788,1.13,0.00000,146.65262,3,5
2017-01-20T13:38:03.40Z,28.2194761,-82.1507767,48.819,0.30,0.19,0.11,17.819,22.362,0.99,0.00000,146.65268,3,5
2017-01-20T13:38:03.60Z,28.2194849,-82.1507765,49.370,0.05,0.08,0.10,16.475,20.266,1.02,0.00000,146.65274,3,5
2017-01-20T13:38:03.80Z,28.2194975,-82.1507746,49.531,-0.10,-0.16,0.24,15.502,19.021,0.42,0.00000,146.65278,3,5
