time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-17T21:12:05.00Z,28.2199075,-82.1511064,0.626,6.90,0.64,4.15,88.411,86.770,4.15,5.31168,18.62478,3,4
2017-01-17T21:12:05.20Z,28.2199344,-82.1510995,-3.319,6.28,0.90,4.61,78.820,79.327,4.15,6.98106,15.61712,3,4
2017-01-17T21:12:05.40Z,28.2199587,-82.1510723,-7.690,5.31,0.92,3.93,58.653,66.773,2.28,8.94656,10.76416,3,4
2017-01-17T21:12:05.60Z,28.2198773,-82.1511055,2.611,2.73,0.06,2.21,31.070,36.385,1.46,6.29508,14.81406,3,5
2017-01-17T21:12:05.80Z,28.2198665,-82.1511203,5.989,1.35,0.08,1.37,24.470,28.072,1.11,5.51659,24.35556,3,5
2017-01-17T21:12:06.00Z,28.2198884,-82.1511382,9.947,0.62,-0.29,0.23,19.051,22.460,0.70,349.26327,22.82462,3,6
2017-01-17T21:12:06.20Z,28.2198797,-82.1511437,8.420,0.73,-0.15,0.30,16.531,18.564,0.78,348.99384,31.79427,3,6
2017-01-17T21:12:06.40Z,28.2198685,-82.1511481,9.715,0.69,-0.32,0.04,14.294,16.347,0.61,339.55988,22.17360,3,6
2017-01-17T21:12:06.60Z,28.2198661,-82.1511507,10.380,0.48,-0.23,0.10,12.806,14.638,0.64,338.54674,42.90446,3,6
2017-01-17T21:12:06.80Z,28.2198645,-82.1511515,10.475,0.05,0.14,0.06,11.858,13.918,0.41,338.54674,42.90455,3,6
2017-01-17T21:12:07.00Z,28.2198629,-82.1511553,10.478,-0.20,0.20,0.03,11.427,13.381,0.67,338.54674,42.90469,3,6
2017-01-17T21:12:07.20Z,28.2198594,-82.1511614,10.288,-0.62,0.08,-0.09,10.998,12.855,0.70,237.93939,34.52766,3,6
2017-01-17T21:12:07.40Z,28.2198624,-82.1511641,10.048,-0.15,0.09,0.02,10.768,12.520,0.73,237.93939,34.52785,3,4
2017-01-17T21:12:07.60Z,28.2198705,-82.1511728,10.076,0.10,0.10,0.16,10.191,12.252,0.70,237.93939,34.52803,3,6
2017-01-17T21:12:07.80Z,28.2198741,-82.1511778,10.280,0.14,0.12,0.27,9.652,11.985,0.65,237.93939,34.52820,3,8
2017-01-17T21:12:08.00Z,28.2198694,-82.1511786,10.104,-0.14,0.35,0.31,9.220,11.614,0.45,237.93939,34.52833,3,9
2017-01-17T21:12:08.20Z,28.2198680,-82.1511797,10.166,-0.11,0.04,0.15,8.643,10.895,0.41,237.93939,34.52843,3,10
2017-01-17T21:12:08.40Z,28.2198717,-82.1511836,10.757,-0.04,-0.02,0.13,8.097,10.302,0.42,237.93939,34.52854,3,10
