time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-11T21:56:08.50Z,28.2181881,-82.1526000,10.661,-0.62,0.97,1.70,247.393,280.027,20.11,0.00000,180.00000,3,4
2017-01-11T21:56:08.80Z,28.2182033,-82.1526673,13.010,-0.46,0.21,0.47,26.706,50.872,3.05,0.00000,69.37229,3,8
2017-01-11T21:56:09.00Z,28.2182468,-82.1526838,21.212,-0.33,0.16,0.29,21.118,36.430,1.12,114.88116,40.72418,3,9
2017-01-11T21:56:09.20Z,28.2182613,-82.1526885,20.331,-0.13,0.07,0.14,15.739,26.262,0.77,114.88116,40.72436,3,9
2017-01-11T21:56:09.40Z,28.2182562,-82.1526888,22.107,-0.07,0.00,0.03,12.359,20.124,0.39,114.88116,40.72444,3,9
2017-01-11T21:56:09.60Z,28.2182554,-82.1526779,22.094,-0.06,0.01,0.07,10.091,16.099,0.38,114.88116,40.72453,3,9
2017-01-11T21:56:09.80Z,28.2182524,-82.1526725,22.752,-0.12,0.02,0.16,8.493,13.272,0.34,114.88116,40.72460,3,9
2017-01-11T21:56:10.00Z,28.2182424,-82.1526666,22.421,-0.14,0.00,0.20,7.351,11.307,0.33,114.88116,40.72468,3,9
2017-01-11T21:56:10.20Z,28.2182409,-82.1526608,22.877,-0.13,0.01,0.23,6.506,9.883,0.32,114.88116,40.72474,3,9
2017-01-11T21:56:10.40Z,28.2182395,-82.1526593,22.697,-0.22,0.03,0.33,5.871,8.835,0.31,140.86511,44.28340,3,9
2017-01-11T21:56:10.60Z,28.2182378,-82.1526580,22.369,-0.18,0.02,0.40,5.417,8.095,0.31,140.86511,44.28349,3,9
