time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-31T14:35:33.20Z,27.8172726,-80.5006332,0.700,0.14,-0.18,0.21,70.084,117.316,3.94,0.00000,180.00000,3,4
2017-01-31T14:35:33.40Z,27.8172333,-80.5004905,-0.462,0.07,-0.18,-0.05,38.627,64.608,1.32,0.00000,180.00000,3,5
2017-01-31T14:35:34.20Z,27.8172644,-80.5005080,-4.950,-0.02,0.00,0.06,23.817,49.215,1.26,0.00000,180.00000,3,6
2017-01-31T14:35:34.40Z,27.8172723,-80.5005221,-3.823,0.01,0.03,0.13,21.375,45.674,1.32,0.00000,180.00000,3,6
2017-01-31T14:35:34.60Z,27.8172823,-80.5005277,-4.053,0.05,0.03,0.08,19.522,42.747,1.19,0.00000,180.00000,3,6
2017-01-31T14:35:34.80Z,27.8172907,-80.5005332,-3.965,0.03,0.01,0.09,18.027,40.287,1.20,0.00000,180.00000,3,6
2017-01-31T14:35:35.00Z,27.8172977,-80.5005381,-4.338,0.00,0.00,0.06,16.387,36.567,0.99,0.00000,180.00000,3,7
2017-01-31T14:35:35.20Z,27.8173028,-80.5005447,-4.036,0.03,-0.01,0.08,15.108,33.660,1.06,0.00000,180.00000,3,7
2017-01-31T14:35:35.40Z,27.8173064,-80.5005576,-2.645,0.03,-0.02,0.08,14.074,31.306,0.99,0.00000,180.00000,3,7
2017-01-31T14:35:35.60Z,27.8173073,-80.5005669,-1.156,0.07,0.03,0.14,13.218,29.356,0.95,0.00000,180.00000,3,7
2017-01-31T14:35:35.80Z,27.8173072,-80.5005754,0.030,0.00,0.05,0.23,12.495,27.708,0.88,0.00000,180.00000,3,7
2017-01-31T14:35:36.00Z,27.8173038,-80.5005793,1.196,0.06,0.05,0.29,11.875,26.291,0.90,0.00000,180.00000,3,7
2017-01-31T14:35:36.20Z,27.8172999,-80.5005824,2.439,0.13,0.02,0.36,11.332,25.118,0.89,0.00000,153.44650,3,7
2017-01-31T14:35:36.40Z,27.8172993,-80.5005862,2.893,0.09,0.01,0.36,10.849,24.032,0.87,0.00000,153.44656,3,7
2017-01-31T14:35:36.60Z,27.8172965,-80.5005900,3.724,0.07,0.08,0.39,10.422,23.071,0.83,0.00000,153.44662,3,7
2017-01-31T14:35:36.80Z,27.8172957,-80.5005913,3.745,0.21,0.02,0.45,10.055,22.250,0.85,0.00000,153.44666,3,7
2017-01-31T14:35:37.00Z,27.8172944,-80.5005939,3.765,0.07,0.00,0.49,9.745,21.543,0.82,0.00000,153.44670,3,7
2017-01-31T14:35:37.20Z,27.8172925,-80.5005958,4.018,0.18,0.02,0.49,9.425,20.835,0.83,0.00000,153.44676,3,8
2017-01-31T14:35:37.40Z,27.8172906,-80.5005969,4.192,0.23,-0.02,0.51,9.135,20.224,0.83,0.00000,153.44682,3,8
2017-01-31T14:35:37.60Z,27.8172898,-80.5005974,4.024,0.10,0.02,0.45,8.769,19.248,0.81,0.00000,153.44686,3,9
2017-01-31T14:35:37.80Z,27.8172893,-80.5005978,3.850,0.16,-0.07,0.40,8.467,18.424,0.80,0.00000,153.44690,3,9
2017-01-31T14:35:38.00Z,27.8172893,-80.5005985,3.544,0.23,-0.05,0.43,8.209,17.740,0.79,0.00000,153.44694,3,9
2017-01-31T14:35:38.20Z,27.8172882,-80.5005986,3.477,-0.05,0.12,0.33,7.991,17.163,0.69,0.00000,153.44698,3,9
2017-01-31T14:35:38.40Z,27.8172885,-80.5005981,3.025,-0.01,0.01,0.34,7.794,16.647,0.75,0.00000,153.44702,3,9
2017-01-31T14:35:38.60Z,27.8172883,-80.5005978,2.803,-0.02,-0.01,0.34,7.604,16.133,0.74,0.00000,153.44706,3,9
2017-01-31T14:35:38.80Z,27.8172894,-80.5005975,2.306,0.09,0.03,0.39,7.434,15.670,0.79,0.00000,153.44710,3,9
2017-01-31T14:35:39.00Z,27.8172895,-80.5005969,2.000,0.02,0.07,0.37,7.285,15.278,0.75,0.00000,153.44714,3,9
2017-01-31T14:35:39.20Z,27.8172898,-80.5005969,1.698,0.11,-0.01,0.37,7.147,14.921,0.80,0.00000,153.44718,3,9
2017-01-31T14:35:39.40Z,27.8172888,-80.5005962,1.624,-0.09,0.12,0.22,7.017,14.584,0.62,0.00000,153.44722,3,9
2017-01-31T14:35:39.60Z,27.8172894,-80.5005957,1.196,0.15,-0.04,0.31,6.898,14.276,0.82,0.00000,153.44726,3,9
2017-01-31T14:35:39.80Z,27.8172892,-80.5005951,0.861,0.06,0.04,0.42,6.789,13.993,0.77,0.00000,153.44730,3,9
2017-01-31T14:35:40.00Z,27.8172891,-80.5005947,0.587,0.02,0.10,0.35,6.686,13.721,0.73,0.00000,153.44736,3,9
2017-01-31T14:35:40.20Z,27.8172895,-80.5005949,0.429,0.22,-0.07,0.33,6.589,13.469,0.81,0.00000,153.44740,3,9
2017-01-31T14:35:40.40Z,27.8172905,-80.5005949,-0.042,0.12,0.00,0.48,6.497,13.232,0.78,0.00000,153.44744,3,9
2017-01-31T14:35:40.60Z,27.8172894,-80.5005941,-0.037,-0.05,0.15,0.45,6.412,13.020,0.69,0.00000,153.44748,3,9
2017-01-31T14:35:40.80Z,27.8172886,-80.5005937,-0.145,-0.11,0.06,0.50,6.338,12.845,0.68,0.00000,153.44752,3,9
