time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-30T14:37:30.20Z,27.8172662,-80.5005595,-4.458,0.00,-0.01,-0.01,15.643,19.364,0.91,0.00000,180.00000,3,5
2017-01-30T14:37:30.40Z,27.8172626,-80.5005586,-3.844,0.02,-0.04,0.03,10.656,10.848,0.47,0.00000,180.00000,3,5
2017-01-30T14:37:31.00Z,27.8172617,-80.5005559,-3.724,0.04,-0.07,0.03,8.549,10.041,0.48,0.00000,154.36664,3,5
2017-01-30T14:37:31.20Z,27.8172610,-80.5005550,-3.816,0.01,0.00,0.01,7.812,9.415,0.32,0.00000,154.36666,3,5
2017-01-30T14:37:31.40Z,27.8172605,-80.5005535,-3.977,0.02,-0.07,0.04,7.245,8.894,0.42,0.00000,154.36670,3,5
2017-01-30T14:37:31.60Z,27.8172604,-80.5005524,-4.167,0.03,-0.10,0.04,6.790,8.451,0.46,0.00000,154.36672,3,5
2017-01-30T14:37:31.80Z,27.8172603,-80.5005519,-4.288,0.02,-0.08,0.04,6.413,8.069,0.42,0.00000,154.36674,3,5
2017-01-30T14:37:32.00Z,27.8172603,-80.5005509,-4.469,0.04,-0.11,0.07,6.095,7.735,0.41,0.00000,154.36678,3,5
2017-01-30T14:37:32.20Z,27.8172602,-80.5005507,-4.513,0.04,-0.10,0.06,5.834,7.451,0.42,0.00000,154.36680,3,5
2017-01-30T14:37:32.40Z,27.8172600,-80.5005509,-4.492,0.03,-0.11,0.06,5.605,7.195,0.41,0.00000,154.36684,3,5
2017-01-30T14:37:32.60Z,27.8172601,-80.5005511,-4.500,0.06,-0.14,0.09,5.401,6.965,0.41,0.00000,154.36686,3,5
2017-01-30T14:37:32.80Z,27.8172602,-80.5005515,-4.493,0.04,-0.11,0.10,5.219,6.756,0.37,0.00000,154.36688,3,5
2017-01-30T14:37:33.00Z,27.8172604,-80.5005515,-4.523,0.04,-0.11,0.10,5.068,6.568,0.37,0.00000,154.36690,3,5
2017-01-30T14:37:33.20Z,27.8172607,-80.5005522,-4.518,0.09,-0.14,0.08,4.908,6.375,0.45,0.00000,154.36692,3,5
2017-01-30T14:37:33.40Z,27.8172609,-80.5005523,-4.493,0.04,-0.11,0.08,4.761,6.178,0.41,0.00000,154.36696,3,5
2017-01-30T14:37:33.60Z,27.8172609,-80.5005520,-4.515,0.03,-0.06,0.08,4.628,5.999,0.35,0.00000,154.36698,3,5
2017-01-30T14:37:33.80Z,27.8172608,-80.5005520,-4.510,0.01,-0.07,0.07,4.508,5.836,0.34,0.00000,154.36700,3,5
2017-01-30T14:37:34.00Z,27.8172608,-80.5005518,-4.509,0.01,-0.05,0.06,4.398,5.686,0.33,0.00000,154.36702,3,5
2017-01-30T14:37:34.20Z,27.8172607,-80.5005516,-4.512,0.04,-0.06,0.05,4.296,5.547,0.41,0.00000,154.36704,3,5
2017-01-30T14:37:34.40Z,27.8172608,-80.5005512,-4.664,0.04,-0.08,0.08,4.205,5.428,0.38,0.00000,154.36706,3,5
2017-01-30T14:37:34.60Z,27.8172609,-80.5005518,-4.649,0.08,-0.12,0.06,4.146,5.370,0.52,0.00000,154.36710,3,5
2017-01-30T14:37:34.80Z,27.8172609,-80.5005520,-4.668,0.07,-0.10,0.06,4.130,5.351,0.57,0.00000,154.36714,3,5
2017-01-30T14:37:35.00Z,27.8172611,-80.5005524,-4.692,0.12,-0.19,0.09,4.131,5.345,0.62,0.00000,154.36718,3,5
2017-01-30T14:37:35.20Z,27.8172611,-80.5005522,-4.701,0.08,-0.05,0.09,4.134,5.342,0.47,0.00000,154.36720,3,5
2017-01-30T14:37:35.40Z,27.8172611,-80.5005521,-4.718,0.06,-0.03,0.11,4.144,5.344,0.53,0.00000,154.36722,3,5
2017-01-30T14:37:35.60Z,27.8172612,-80.5005522,-4.738,0.05,-0.07,0.14,4.176,5.350,0.67,0.00000,154.36726,3,5
2017-01-30T14:37:35.80Z,27.8172614,-80.5005526,-4.756,0.10,-0.13,0.16,4.231,5.360,0.97,0.00000,154.36732,3,5
2017-01-30T14:37:36.00Z,27.8172617,-80.5005532,-4.792,0.18,-0.28,0.21,4.309,5.374,1.26,0.00000,154.36740,3,5
2017-01-30T14:37:36.20Z,27.8172613,-80.5005513,-4.855,0.11,0.13,0.26,4.400,5.391,0.87,0.00000,154.36744,3,5
