time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-30T17:32:49.20Z,27.8168343,-80.5003081,42.169,0.18,0.18,-0.35,79.603,74.686,6.81,0.00000,180.00000,3,4
2017-01-30T17:32:49.40Z,27.8168802,-80.5003314,40.289,0.05,0.07,-0.34,68.389,53.897,4.21,0.00000,180.00000,3,4
2017-01-30T17:32:50.00Z,27.8169533,-80.5003529,36.072,0.25,0.29,-0.38,35.320,32.598,1.38,0.00000,156.66534,3,4
2017-01-30T17:32:50.20Z,27.8169516,-80.5003549,35.486,-0.63,0.15,-0.21,33.854,31.288,1.42,0.00000,156.66542,3,4
2017-01-30T17:32:50.40Z,27.8169627,-80.5003517,33.763,-0.32,0.21,-0.36,31.939,29.256,1.19,0.00000,156.66548,3,5
2017-01-30T17:32:50.60Z,27.8170359,-80.5003417,32.255,-0.13,0.14,-0.20,27.387,27.606,0.88,0.00000,156.66554,3,6
2017-01-30T17:32:50.80Z,27.8170787,-80.5003334,32.022,-0.04,0.01,-0.12,24.275,26.200,0.71,0.00000,156.66558,3,6
2017-01-30T17:32:51.00Z,27.8170474,-80.5003614,27.185,-0.03,-0.09,-0.04,19.198,23.916,0.38,0.00000,156.66560,3,7
2017-01-30T17:32:51.20Z,27.8170305,-80.5003793,25.399,-0.06,-0.04,-0.02,15.576,21.817,0.50,0.00000,156.66562,3,7
2017-01-30T17:32:51.40Z,27.8170315,-80.5003820,25.357,0.20,0.17,-0.04,13.784,20.650,0.45,0.00000,156.66566,3,7
2017-01-30T17:32:51.60Z,27.8170343,-80.5003803,26.116,0.14,-0.36,-0.09,12.916,19.860,0.48,0.00000,156.66568,3,7
2017-01-30T17:32:51.80Z,27.8170493,-80.5003825,23.770,-0.04,-0.06,-0.05,11.970,18.207,0.54,0.00000,156.66570,3,8
2017-01-30T17:32:52.00Z,27.8170653,-80.5003834,20.054,-0.12,-0.26,0.00,10.850,16.282,0.61,0.00000,156.66574,3,9
2017-01-30T17:32:52.20Z,27.8170710,-80.5003821,18.434,-0.10,0.05,0.01,10.124,15.260,0.40,0.00000,156.66578,3,9
2017-01-30T17:32:52.40Z,27.8170715,-80.5003808,17.460,-0.28,0.22,-0.05,9.770,14.760,0.53,0.00000,156.66580,3,9
2017-01-30T17:32:52.60Z,27.8170722,-80.5003826,16.861,-0.03,0.19,0.00,9.318,14.258,0.60,0.00000,156.66584,3,9
2017-01-30T17:32:52.80Z,27.8170706,-80.5003846,16.465,-0.23,0.16,0.12,8.753,13.741,0.49,0.00000,156.66588,3,9
2017-01-30T17:32:53.00Z,27.8170713,-80.5003842,16.336,-0.08,0.11,-0.09,8.483,13.172,0.72,0.00000,156.66592,3,9
2017-01-30T17:32:53.20Z,27.8170724,-80.5003843,15.955,-0.17,0.12,-0.01,8.278,12.827,0.61,0.00000,156.66596,3,9
2017-01-30T17:32:53.40Z,27.8170732,-80.5003846,15.557,-0.40,0.26,0.05,8.074,12.442,0.63,0.00000,156.66600,3,9
2017-01-30T17:32:53.60Z,27.8170743,-80.5003838,15.473,-0.33,0.33,0.01,7.904,12.185,0.92,0.00000,156.66604,3,9
2017-01-30T17:32:53.80Z,27.8170750,-80.5003838,15.485,-0.27,0.07,-0.02,7.764,11.977,0.95,0.00000,156.66610,3,9
