time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-15T22:26:03.00Z,28.2197908,-82.1514031,-38.462,-0.36,-2.92,3.47,43.855,68.478,2.77,263.04987,15.60117,3,4
2017-01-15T22:26:03.20Z,28.2197824,-82.1513864,-38.653,0.26,-2.19,3.35,26.767,35.463,1.60,267.49294,22.69970,3,5
2017-01-15T22:26:03.40Z,28.2197925,-82.1513775,-36.465,0.43,-2.02,2.94,25.835,38.052,1.26,275.61769,20.21556,3,5
2017-01-15T22:26:03.60Z,28.2197976,-82.1513748,-35.230,0.34,-1.96,2.41,22.213,34.357,1.15,277.71566,20.69565,3,5
2017-01-15T22:26:03.80Z,28.2198035,-82.1513722,-34.946,0.18,-1.91,1.94,19.852,31.781,1.07,276.55185,20.94323,3,5
2017-01-15T22:26:04.00Z,28.2198079,-82.1513690,-33.493,0.41,-1.62,1.67,18.066,29.678,1.00,279.68018,24.95576,3,5
2017-01-15T22:26:04.20Z,28.2198057,-82.1513703,-31.886,0.33,-1.42,1.52,16.463,27.696,0.91,281.84950,19.59782,3,6
2017-01-15T22:26:04.40Z,28.2198094,-82.1513715,-30.863,0.38,-1.44,1.49,15.252,26.059,0.86,283.35884,19.14314,3,6
2017-01-15T22:26:04.60Z,28.2198183,-82.1513713,-30.469,0.48,-1.19,1.42,14.269,24.658,0.84,287.01597,22.66550,3,6
2017-01-15T22:26:04.80Z,28.2198217,-82.1513731,-29.978,0.41,-1.14,1.42,13.479,23.572,0.83,288.22273,23.97992,3,6
2017-01-15T22:26:05.00Z,28.2198252,-82.1513713,-28.692,0.33,-1.17,1.40,12.681,22.527,0.80,286.86863,23.05332,3,8
2017-01-15T22:26:05.20Z,28.2198269,-82.1513666,-26.815,0.24,-1.07,1.22,11.993,21.537,0.78,285.05385,25.26785,3,8
2017-01-15T22:26:05.40Z,28.2198256,-82.1513646,-25.221,0.44,-1.03,1.04,11.494,20.745,0.76,287.79966,34.97660,3,7
2017-01-15T22:26:05.60Z,28.2198245,-82.1513590,-23.719,0.46,-0.82,0.90,10.980,19.982,0.75,292.28606,44.00994,3,8
2017-01-15T22:26:05.80Z,28.2198235,-82.1513560,-22.795,0.55,-0.77,0.82,10.542,19.310,0.72,292.28606,44.01019,3,8
2017-01-15T22:26:06.00Z,28.2198235,-82.1513538,-22.344,0.52,-0.72,0.74,10.173,18.704,0.74,292.28606,44.01043,3,8
2017-01-15T22:26:06.20Z,28.2198242,-82.1513522,-21.876,0.47,-0.69,0.77,9.819,18.147,0.76,292.28606,44.01066,3,8
2017-01-15T22:26:06.40Z,28.2198245,-82.1513489,-21.519,0.48,-0.59,0.77,9.476,17.586,0.76,292.28606,44.01089,3,8
2017-01-15T22:26:06.60Z,28.2198274,-82.1513377,-19.076,0.49,-0.50,0.73,9.101,16.675,0.76,292.28606,44.01110,3,8
2017-01-15T22:26:06.80Z,28.2198304,-82.1513283,-16.993,0.65,-0.49,0.60,8.762,15.889,0.70,292.28606,44.01130,3,8
2017-01-15T22:26:07.00Z,28.2198331,-82.1513194,-14.581,0.78,-0.52,0.50,8.441,15.098,0.65,310.83781,40.51086,3,8
2017-01-15T22:26:07.20Z,28.2198334,-82.1513159,-13.330,0.79,-0.55,0.39,8.151,14.412,0.59,319.06570,34.08603,3,8
2017-01-15T22:26:07.40Z,28.2198338,-82.1513129,-12.369,0.64,-0.50,0.30,7.909,13.843,0.60,320.33074,41.85715,3,8
2017-01-15T22:26:07.60Z,28.2198335,-82.1513102,-11.255,0.38,-0.71,0.16,7.686,13.239,0.57,309.29386,42.15752,3,8
2017-01-15T22:26:07.80Z,28.2198340,-82.1513075,-10.226,0.33,-0.74,0.11,7.482,12.714,0.56,301.29970,39.57346,3,8
2017-01-15T22:26:08.00Z,28.2198336,-82.1513068,-9.585,0.32,-0.77,0.06,7.304,12.253,0.57,296.87395,38.27195,3,8
2017-01-15T22:26:08.20Z,28.2198332,-82.1513071,-9.140,0.27,-0.91,0.03,7.154,11.969,0.58,291.03780,33.31886,3,8
2017-01-15T22:26:08.40Z,28.2198319,-82.1513062,-8.445,0.11,-0.83,-0.05,7.017,11.708,0.56,282.66380,26.15108,3,8
2017-01-15T22:26:08.60Z,28.2198318,-82.1513053,-7.956,0.16,-0.62,0.06,6.877,11.397,0.57,283.50490,34.31095,3,8
2017-01-15T22:26:08.80Z,28.2198316,-82.1513041,-7.483,0.01,-0.53,0.09,6.754,11.142,0.61,278.42597,40.00621,3,8
2017-01-15T22:26:09.00Z,28.2198311,-82.1513036,-7.480,0.05,-0.32,0.26,6.626,10.820,0.66,278.42597,40.00636,3,9
2017-01-15T22:26:09.20Z,28.2198304,-82.1513009,-6.777,0.02,-0.09,0.11,6.503,10.524,0.62,278.42597,40.00650,3,9
2017-01-15T22:26:09.40Z,28.2198296,-82.1513001,-6.575,0.03,-0.14,0.13,6.375,10.190,0.53,278.42597,40.00662,3,9
2017-01-15T22:26:09.60Z,28.2198288,-82.1513003,-6.671,0.13,-0.10,0.15,6.255,9.885,0.48,278.42597,40.00673,3,9
2017-01-15T22:26:09.80Z,28.2198283,-82.1512999,-6.668,-0.04,-0.10,0.12,6.134,9.538,0.46,278.42597,40.00683,3,9
2017-01-15T22:26:10.00Z,28.2198285,-82.1512989,-6.478,0.07,-0.10,0.12,6.023,9.232,0.49,278.42597,40.00694,3,9
2017-01-15T22:26:10.20Z,28.2198286,-82.1512970,-6.027,0.05,-0.09,0.13,5.914,8.956,0.47,278.42597,40.00705,3,9
2017-01-15T22:26:10.40Z,28.2198288,-82.1512959,-5.751,0.02,-0.08,0.12,5.806,8.707,0.46,278.42597,40.00715,3,9
2017-01-15T22:26:10.60Z,28.2198289,-82.1512950,-5.769,0.08,-0.03,0.12,5.703,8.480,0.44,278.42597,40.00725,3,9
2017-01-15T22:26:10.80Z,28.2198295,-82.1512928,-5.450,0.06,-0.11,0.12,5.604,8.272,0.45,278.42597,40.00735,3,9
2017-01-15T22:26:11.00Z,28.2198301,-82.1512903,-5.161,0.00,-0.05,0.09,5.506,8.082,0.43,278.42597,40.00745,3,9
2017-01-15T22:26:11.20Z,28.2198306,-82.1512890,-5.058,0.06,0.00,0.10,5.413,7.901,0.41,278.42597,40.00754,3,9
